eigenvalue	proportion	cumulative
390.78591	  0.38163	  0.38163	0.047pixel_576+0.047pixel_516+0.047pixel_786+0.047pixel_544+0.046pixel_548...
323.30464	  0.31573	  0.69735	-0.05pixel_48-0.05pixel_16-0.05pixel_17-0.05pixel_18-0.05pixel_49...
 59.03047	  0.05765	  0.755  	-0.09pixel_525-0.089pixel_526-0.088pixel_523-0.087pixel_524-0.086pixel_522...
 31.68595	  0.03094	  0.78594	-0.083pixel_323-0.08pixel_291-0.077pixel_388-0.074pixel_259-0.074pixel_355...
 22.67382	  0.02214	  0.80809	-0.114pixel_834-0.112pixel_802-0.108pixel_866+0.105pixel_230-0.105pixel_770...
 15.89934	  0.01553	  0.82361	-0.105pixel_99-0.092pixel_935-0.09pixel_67-0.086pixel_131-0.086pixel_98...
 14.61212	  0.01427	  0.83788	-0.142pixel_260-0.139pixel_228-0.137pixel_772-0.135pixel_292-0.13pixel_804...
 12.36182	  0.01207	  0.84996	0.122pixel_1023+0.111pixel_1022+0.109pixel_1020+0.108pixel_996+0.101pixel_1021...
 11.25759	  0.01099	  0.86095	-0.131pixel_809-0.123pixel_840-0.119pixel_776-0.111pixel_777-0.11pixel_841...
 10.23308	  0.00999	  0.87094	0.106pixel_263+0.086pixel_411-0.085pixel_646+0.081pixel_443+0.08 pixel_314...
  7.74388	  0.00756	  0.8785 	-0.121pixel_231+0.11 pixel_808+0.105pixel_433-0.105pixel_806-0.101pixel_199...
  7.34779	  0.00718	  0.88568	0.147pixel_401+0.115pixel_433+0.109pixel_498+0.102pixel_497+0.096pixel_530...
  6.15491	  0.00601	  0.89169	-0.128pixel_166-0.121pixel_134-0.121pixel_71-0.113pixel_102-0.106pixel_198...
  6.00725	  0.00587	  0.89756	-0.094pixel_629-0.092pixel_502-0.091pixel_604-0.089pixel_636-0.087pixel_791...
  5.33378	  0.00521	  0.90277	-0.118pixel_520-0.111pixel_519-0.106pixel_552-0.104pixel_551+0.103pixel_1024...
  5.12549	  0.00501	  0.90777	0.121pixel_538+0.101pixel_872+0.101pixel_474+0.098pixel_506+0.097pixel_570...
  4.46356	  0.00436	  0.91213	-0.124pixel_638-0.123pixel_670-0.103pixel_606-0.102pixel_702+0.099pixel_871...
  4.17613	  0.00408	  0.91621	-0.116pixel_426-0.112pixel_626+0.11 pixel_689-0.106pixel_427-0.104pixel_396...
  3.79687	  0.00371	  0.91992	-0.128pixel_403-0.119pixel_62-0.114pixel_281-0.11pixel_63-0.11pixel_29...
  3.39162	  0.00331	  0.92323	0.139pixel_433+0.121pixel_496+0.115pixel_464+0.107pixel_401+0.103pixel_659...
  3.2854 	  0.00321	  0.92644	-0.145pixel_1023-0.125pixel_1024-0.117pixel_990+0.114pixel_872-0.113pixel_992...
  2.9866 	  0.00292	  0.92935	-0.162pixel_295-0.13pixel_743-0.104pixel_297-0.103pixel_627-0.103pixel_872...
  2.91834	  0.00285	  0.9322 	0.144pixel_403+0.126pixel_625+0.113pixel_690+0.105pixel_371-0.101pixel_337...
  2.6529 	  0.00259	  0.93479	0.142pixel_409-0.126pixel_665-0.124pixel_697+0.119pixel_872-0.111pixel_464...
  2.54658	  0.00249	  0.93728	-0.175pixel_337+0.114pixel_627-0.106pixel_338-0.104pixel_306+0.096pixel_563...
  2.4446 	  0.00239	  0.93967	-0.12pixel_434+0.11 pixel_777-0.101pixel_338-0.1pixel_358-0.097pixel_729...
  2.35931	  0.0023 	  0.94197	-0.136pixel_807-0.13pixel_1024-0.112pixel_457-0.102pixel_312+0.102pixel_391...
  2.1935 	  0.00214	  0.94411	-0.139pixel_560-0.128pixel_592+0.111pixel_690-0.109pixel_936-0.108pixel_378...
  2.10205	  0.00205	  0.94617	0.122pixel_402+0.12 pixel_312+0.118pixel_625+0.113pixel_370+0.111pixel_280...
  2.01819	  0.00197	  0.94814	0.125pixel_401+0.119pixel_345-0.112pixel_625-0.101pixel_593+0.094pixel_594...
  1.84137	  0.0018 	  0.94994	0.124pixel_648+0.123pixel_104+0.109pixel_556+0.101pixel_105+0.1  pixel_662...
  1.72685	  0.00169	  0.95162	-0.113pixel_625+0.107pixel_839-0.106pixel_166-0.1pixel_72-0.099pixel_690...
  1.69749	  0.00166	  0.95328	-0.125pixel_745+0.111pixel_760+0.104pixel_401+0.097pixel_393+0.096pixel_903...
  1.58249	  0.00155	  0.95483	0.138pixel_904+0.119pixel_505-0.119pixel_903+0.117pixel_167+0.115pixel_338...
  1.55504	  0.00152	  0.95634	0.166pixel_231+0.159pixel_807+0.146pixel_409+0.116pixel_199+0.105pixel_263...
